Countries	Totalcases	Activecases	Recoverycases	Week4deaths	CFR	Week5deaths
China	74185	57805	65112	2004	2.701	2715
Italy	21157	17750	12207	1441	6.811	4825
Spain	5232	4906	3097	133	2.542	1093
Iran	11364	7321	9919	514	4.523	1433
France	3661	3570	482	79	2.158	450
UK	798	769	495	11	1.378	177
Netherlands	804	792	134	10	1.244	106
Germany	3675	3621	3130	8	0.218	68
Belgium	559	555	139	3	0.537	37
Switzerland	1139	1124	303	11	0.966	56
South Korea	7979	7198	7294.42	67	0.840	94
Austria	504	497	431	1	0.198	6
Brazil	151	150	151	0	0.000	11
Indonesia	69	60	38	4	5.797	32
USA	2183	2126	1117	48	2.199	255
India	606	554	42	10	1.650	
